ticker,symbol,company,tier,delta_PPI,p_value_PPI,significant_PPI,r2,n_obs
CMG.N,CMG,Chipotle Mexican Grill,control,-2.006038,0.2287,False,0.1307,99
SMCI.O,SMCI,Supermicro,high,-1.344546,0.0137,True,0.1349,99
GEV.N,GEV,GE Vernova,high,-1.08605,0.1667,False,0.4866,24
NVDA.O,NVDA,Nvidia,high,-0.947544,0.3318,False,0.1456,99
DXCM.O,DXCM,Dexcom,medium,-0.674318,0.03,True,0.2316,99
SHW.N,SHW,Sherwin-Williams,high,-0.56837,0.2022,False,0.209,99
VRT.N,VRT,Vertiv,high,-0.455755,0.1272,False,0.2968,92
APH.N,APH,Amphenol,high,-0.384633,0.3042,False,0.2547,99
BAX.N,BAX,Baxter International,medium,-0.381208,0.0873,False,0.2106,99
RMD.N,RMD,ResMed,medium,-0.375306,0.0372,True,0.1868,99
IR.N,IR,Ingersoll Rand,high,-0.347185,0.0012,True,0.6134,99
AXON.O,AXON,Axon Enterprise,high,-0.291187,0.3059,False,0.1423,99
HUBB.N,HUBB,Hubbell Incorporated,high,-0.276309,0.0854,False,0.4456,99
ZBH.N,ZBH,Zimmer Biomet,medium,-0.26943,0.0388,True,0.4224,99
AMZN.O,AMZN,Amazon,control,-0.26706,0.5337,False,0.1949,99
SYK.N,SYK,Stryker Corporation,medium,-0.250453,0.0523,False,0.5424,99
TDG.N,TDG,TransDigm Group,high,-0.23639,0.0501,False,0.5104,99
FICO.N,FICO,Fair Isaac,control,-0.216753,0.342,False,0.3997,99
GEHC.N,GEHC,GE HealthCare,medium,-0.215982,0.3387,False,0.4417,39
ROP.N,ROP,Roper Technologies,high,-0.198149,0.5548,False,0.3884,32
ACGL.N,ACGL,Arch Capital Group,control,-0.19258,0.3249,False,0.1762,95
NDSN.N,NDSN,Nordson Corporation,high,-0.187147,0.1448,False,0.4992,95
PH.N,PH,Parker Hannifin,high,-0.184634,0.1327,False,0.6578,99
ISRG.O,ISRG,Intuitive Surgical,medium,-0.182258,0.4175,False,0.1585,99
ALB.N,ALB,Albemarle Corporation,high,-0.181807,0.5842,False,0.3004,99
